Sprint                                            , Ticket ID, Title                                          , Priority, Estimate, Acceptance Criteria
Sprint 1: Roles And Safety                        , S1-001   , Define Role Matrix                             , P0      , M       , "Every major page/action has an explicit guest / student / teacher rule."
Sprint 1: Roles And Safety                        , S1-002   , Define Guest Restrictions                      , P0      , M       , "Guest-safe and guest-blocked feature lists are documented."
Sprint 1: Roles And Safety                        , S1-003   , Audit Protected Backend Routes                 , P0      , M       , "All relevant routes are categorized and missing auth checks are listed."
Sprint 1: Roles And Safety                        , S1-004   , Block Guest Access To Sensitive APIs           , P0      , M       , "Guests cannot execute protected APIs directly."
Sprint 1: Roles And Safety                        , S1-005   , Hide Restricted Guest UI                       , P0      , S       , "Guests do not see or can’t trigger restricted actions."
Sprint 1: Roles And Safety                        , S1-006   , Review Login And Session Settings              , P1      , M       , "Session/cookie/logout behavior is reviewed and hardening changes are listed."
Sprint 1: Roles And Safety                        , S1-007   , Review Password Policy                         , P1      , S       , "Password risks and improvement decisions are documented."
Sprint 1: Roles And Safety                        , S1-008   , Define Login Rate Limiting Plan                , P1      , S       , "Brute-force protection strategy is defined."
Sprint 1: Roles And Safety                        , S1-009   , Define Auth Event Logging Plan                 , P1      , S       , "Login/logout/failure/permission-denied audit events are specified."
Sprint 1: Roles And Safety                        , S1-010   , Review Guest UX Copy                           , P2      , S       , "Guest restriction messaging is clear and consistent."
Sprint 2: Device Ownership And Access             , S2-001   , Define Device Ownership Rules                  , P0      , M       , "One-owner-only, viewer receive-only, and max-5-devices-per-user rules are finalized."
Sprint 2: Device Ownership And Access             , S2-002   , Design Devices Table                           , P0      , M       , "PostgreSQL schema for devices is documented."
Sprint 2: Device Ownership And Access             , S2-003   , Design Device Viewers Table                    , P0      , M       , "PostgreSQL schema for device_viewers is documented."
Sprint 2: Device Ownership And Access             , S2-004   , Design Device Control Sessions Table           , P1      , S       , "Optional control-session schema is defined for owner-only control locks."
Sprint 2: Device Ownership And Access             , S2-005   , Implement DB Migration For Devices             , P0      , M       , "Device-related tables and indexes exist in PostgreSQL."
Sprint 2: Device Ownership And Access             , S2-006   , Implement Authorization Helpers                , P0      , M       , "count_user_devices, can_view_device, can_control_device, and can_manage_device exist and are tested."
Sprint 2: Device Ownership And Access             , S2-007   , Build Device CRUD APIs                         , P0      , M       , "Create/list/remove device endpoints work with proper auth."
Sprint 2: Device Ownership And Access             , S2-008   , Build Viewer Management APIs                   , P0      , M       , "Owner can add/remove viewers; viewers cannot self-elevate."
Sprint 2: Device Ownership And Access             , S2-009   , Define Pairing Token Flow                      , P1      , M       , "Device claim flow, expiry, and re-pair behavior are defined."
Sprint 2: Device Ownership And Access             , S2-010   , Implement Pairing Endpoints                    , P1      , M       , "Devices can be securely claimed by one owner."
Sprint 3: Communication Layer Design              , S3-001   , Define Flask vs Elixir Boundary                , P0      , M       , "Written contract exists for what Flask owns and what Elixir owns."
Sprint 3: Communication Layer Design              , S3-002   , Define MQTT Topic Policy                       , P0      , M       , "Topic namespaces and owner/viewer MQTT permissions are documented."
Sprint 3: Communication Layer Design              , S3-003   , Define MQTT Persistence Policy                 , P0      , S       , "Clear rule for which topics are stored and which are never persisted."
Sprint 3: Communication Layer Design              , S3-004   , Define WebRTC Session Policy                   , P0      , M       , "Owner gets control-capable sessions; viewer gets observe-only sessions."
Sprint 3: Communication Layer Design              , S3-005   , Define Signaling Auth Flow                     , P0      , M       , "Browser/device signaling auth and token flow are documented."
Sprint 3: Communication Layer Design              , S3-006   , Define Session Lifecycle                       , P1      , S       , "Timeouts, reconnect, and stale-session cleanup are specified."
Sprint 3: Communication Layer Design              , S3-007   , Draw Architecture Diagram                      , P1      , S       , "Browser, device, MQTT, signaling, and WebRTC flow are diagrammed."
Sprint 3: Communication Layer Design              , S3-008   , Define Failure Modes                           , P1      , S       , "Expected behavior for broker down, device offline, and failed signaling is documented."
Sprint 4: Communication Layer Implementation      , S4-001   , Scaffold Elixir Communication Service          , P0      , M       , "Elixir service runs locally and can expose signaling endpoints/channels."
Sprint 4: Communication Layer Implementation      , S4-002   , Add Auth Validation Between Flask And Elixir   , P0      , M       , "Communication service can validate user/device access using trusted tokens or backend checks."
Sprint 4: Communication Layer Implementation      , S4-003   , Implement WebRTC Signaling                     , P0      , M       , "Offer/answer/ICE exchange works for authorized sessions."
Sprint 4: Communication Layer Implementation      , S4-004   , Implement Device Presence Tracking             , P1      , M       , "Device online/offline/session state is visible to authorized users."
Sprint 4: Communication Layer Implementation      , S4-005   , Integrate Hosted MQTT For Browser              , P0      , M       , "Browser connects to one global broker config and uses correct topic permissions."
Sprint 4: Communication Layer Implementation      , S4-006   , Enforce MQTT ACL Policy                        , P0      , M       , "Owner can publish device/<id>/cmd; viewer is read-only on telemetry/frames/result."
Sprint 4: Communication Layer Implementation      , S4-007   , Stop Persisting Frame Topics                   , P0      , S       , "Frame topics are excluded from MQTT DB logging."
